,stock_id,stock_name,industry_category,list_type,list_date
3224,3354,律勝,電子零組件業,tpex,2025-09-30
3200,3356,奇偶,光電業,twse,2025-09-30
3198,3357,臺慶科,電子零組件業,tpex,2025-09-30
3197,3360,尚立,電子通路業,tpex,2025-09-30
3174,3362,先進光,光電業,tpex,2025-09-30
3175,3363,上詮,通信網路業,tpex,2025-09-30
463,3367,英華達,電子工業,twse,2024-12-04
3176,3372,典範,半導體業,tpex,2025-09-30
3177,3373,熱映,其他電子類,tpex,2025-09-30
3178,3374,精材,半導體業,tpex,2025-09-30
3180,3376,新日興,電子零組件業,twse,2025-09-30
3181,3379,彬台,電機機械,tpex,2025-09-30
3183,3380,明泰,電子工業,twse,2025-09-30
746,3383,新世紀,電子工業,twse,2025-09-24
3184,3388,崇越電,電子零組件業,tpex,2025-09-30
3185,3390,旭軟,電子零組件業,tpex,2025-09-30
3186,3402,漢科,其他電子類,tpex,2025-09-30
3188,3406,玉晶光,電子工業,twse,2025-09-30
3190,3413,京鼎,電子工業,twse,2025-09-30
3192,3416,融程電,電腦及週邊設備業,twse,2025-09-30
3194,3419,譁裕,電子工業,twse,2025-09-30
3195,3426,台興,電機機械,tpex,2025-09-30
3196,3430,奇鈦科,化學工業,tpex,2025-09-30
3227,3432,台端,電子零組件業,twse,2025-09-30
3267,3434,哲固,光電業,tpex,2025-09-30
3256,3437,榮創,電子工業,twse,2025-09-30
3257,3438,類比科,半導體業,tpex,2025-09-30
3258,3441,聯一光,光電業,tpex,2025-09-30
3260,3443,創意,電子工業,twse,2025-09-30
3261,3444,利機,電子通路業,tpex,2025-09-30
3263,3447,展達,電子工業,twse,2025-09-30
3265,3450,聯鈞,電子工業,twse,2025-09-30
3268,3454,晶睿,電子工業,twse,2025-09-30
3280,3455,由田,光電業,tpex,2025-09-30
3269,3465,進泰電子,其他電子類,tpex,2025-09-30
3270,3466,德晉,通信網路業,tpex,2025-09-30
3271,3467,台灣精材,半導體業,tpex,2025-09-30
3272,3473,智通聯網,通信網路業,emerging,2025-09-30
489,3474,華亞科,電子工業,twse,2024-12-04
3273,3479,安勤,電腦及週邊設備業,tpex,2025-09-30
3275,3481,群創,電子工業,twse,2025-09-30
3276,3483,力致,電腦及週邊設備業,tpex,2025-09-30
3277,3484,崧騰,電子零組件業,tpex,2025-09-30
3278,3485,敘豐,光電業,emerging,2025-09-30
3279,3489,森寶,建材營造,tpex,2025-09-30
3255,3490,單井,光電業,tpex,2025-09-30
3254,3491,昇達科,通信網路業,tpex,2025-09-30
3253,3492,長盛,電子零組件業,tpex,2025-09-30
3252,3494,誠研,電子工業,twse,2025-09-30
3230,3498,陽程,其他電子類,tpex,2025-09-30
3231,3499,環天科,通信網路業,tpex,2025-09-30
3233,3501,維熹,電子零組件業,twse,2025-09-30
3235,3504,揚明光,電子工業,twse,2025-09-30
3236,3508,位速,其他電子類,tpex,2025-09-30
3237,3511,矽瑪,電子零組件業,tpex,2025-09-30
3238,3512,皇龍,建材營造,tpex,2025-09-30
745,3514,昱晶,電子工業,twse,2025-09-24
3240,3515,華擎,電腦及週邊設備業,twse,2025-09-30
3241,3516,亞帝歐,光電業,tpex,2025-09-30
3243,3518,柏騰,電子工業,twse,2025-09-30
752,3519,綠能,電子工業,twse,2025-09-24
3244,3520,華盈,電子零組件業,tpex,2025-09-30
3245,3521,鴻翊,建材營造,tpex,2025-09-30
3246,3522,御嵿,觀光餐旅,tpex,2025-09-30
3247,3523,迎輝,光電業,tpex,2025-09-30
3248,3526,凡甲,電子零組件業,tpex,2025-09-30
3249,3527,聚積,半導體業,tpex,2025-09-30
3251,3528,安馳,電子通路業,twse,2025-09-30
3173,3529,力旺,半導體業,tpex,2025-09-30
3226,3530,晶相光,半導體業,twse,2025-09-30
3116,3531,先益,光電業,tpex,2025-09-30
3092,3532,台勝科,電子工業,twse,2025-09-30
3094,3533,嘉澤,電子零組件業,twse,2025-09-30
429,3534,雷凌,半導體業,twse,2024-12-04
3096,3535,晶彩科,電子工業,twse,2025-09-30
765,3536,誠創,電子工業,twse,2025-09-24
3097,3537,堡達,電子零組件業,tpex,2025-09-30
3098,3540,曜越,電腦及週邊設備業,tpex,2025-09-30
3099,3541,西柏,其他電子類,tpex,2025-09-30
3101,3543,州巧,電子工業,twse,2025-09-30
3115,3545,敦泰,電子工業,twse,2025-09-30
3104,3546,宇峻,文化創意業,tpex,2025-09-30
3105,3548,兆利,電子零組件業,tpex,2025-09-30
3107,3550,聯穎,電子零組件業,twse,2025-09-30
3108,3551,世禾,綠能環保類,tpex,2025-09-30
3109,3552,同致,其他電子類,tpex,2025-09-30
3110,3555,博士旺,半導體業,tpex,2025-09-30
3111,3556,禾瑞亞,半導體業,tpex,2025-09-30
3112,3557,嘉威,居家生活,twse,2025-09-30
3113,3558,神準,通信網路業,tpex,2025-09-30
648,3559,全智科,電子工業,twse,2025-05-14
763,3561,昇陽光電,電子工業,twse,2025-09-24
3114,3563,牧德,光電業,twse,2025-09-30
3089,3564,其陽,通信網路業,tpex,2025-09-30
3088,3567,逸昌,半導體業,tpex,2025-09-30
3087,3570,大塚,資訊服務業,tpex,2025-09-30
465,3573,穎台,電子工業,twse,2024-12-04
3065,3576,聯合再生,電子工業,twse,2025-09-30
3066,3577,泓格,電腦及週邊設備業,tpex,2025-09-30
759,3579,尚志,電子工業,twse,2025-09-24
3067,3580,友威科,其他電子類,tpex,2025-09-30
3068,3581,博磊,半導體業,tpex,2025-09-30
3070,3583,辛耘,電子工業,twse,2025-09-30
464,3584,介面,電子工業,twse,2024-12-04
3071,3585,聯致,電子零組件業,emerging,2025-09-30
3072,3587,閎康,其他電子類,tpex,2025-09-30
3074,3588,通嘉,電子工業,twse,2025-09-30
3076,3591,艾笛森,電子工業,twse,2025-09-30
3078,3592,瑞鼎,電子工業,twse,2025-09-30
3080,3593,力銘,電子零組件業,twse,2025-09-30
3081,3594,磐儀,電腦及週邊設備業,tpex,2025-09-30
3082,3595,山太士,光電業,emerging,2025-09-30
3084,3596,智易,電子工業,twse,2025-09-30
3085,3597,映興,電子零組件業,tpex,2025-09-30
422,3598,奕力,電子工業,twse,2024-12-04
424,3599,旺能,電子工業,twse,2024-12-04
3086,3603,建祥國際,電子通路業,emerging,2025-09-30
3117,3605,宏致,電子零組件業,twse,2025-09-30
3157,3607,谷崧,電子工業,twse,2025-09-30
3146,3609,三一東林,電子零組件業,tpex,2025-09-30
3147,3611,鼎翰,電腦及週邊設備業,tpex,2025-09-30
468,3614,誠致,電子工業,twse,2024-12-04
3148,3615,安可,光電業,tpex,2025-09-30
3149,3616,泓辰,電機機械,emerging,2025-09-30
3151,3617,碩天,電子工業,twse,2025-09-30
3153,3622,洋華,電子工業,twse,2025-09-30
3154,3623,富晶通,光電業,tpex,2025-09-30
3155,3624,光頡,電子零組件業,tpex,2025-09-30
3156,3625,西勝,電腦及週邊設備業,tpex,2025-09-30
295,3627,華信科,光電業,emerging,2024-04-29
3158,3628,盈正,其他電子類,tpex,2025-09-30
3170,3629,地心引力,文化創意業,tpex,2025-09-30
3159,3630,新鉅科,光電業,tpex,2025-09-30
3160,3631,晟楠,電子零組件業,tpex,2025-09-30
3161,3632,研勤,通信網路業,tpex,2025-09-30
3162,3633,云光,光電業,emerging,2025-09-30
471,3638,F-IML,半導體業,twse,2024-12-04
116,3642,駿熠電,其他電子類,tpex,2022-11-19
3164,3645,達邁,電子零組件業,twse,2025-09-30
3165,3646,艾恩特,電子零組件業,tpex,2025-09-30
3167,3652,精聯,電腦及週邊設備業,twse,2025-09-30
3169,3653,健策,電子零組件業,twse,2025-09-30
3145,3659,百辰,光電業,emerging,2025-09-30
3144,3661,世芯-KY,半導體業,twse,2025-09-30
3142,3663,鑫科,其他電子類,tpex,2025-09-30
3119,3664,安瑞-KY,通信網路業,tpex,2025-09-30
3121,3665,貿聯-KY,電子工業,twse,2025-09-30
3122,3666,光耀,光電業,tpex,2025-09-30
3124,3669,圓展,電子工業,twse,2025-09-30
3125,3672,康聯訊,通信網路業,tpex,2025-09-30
3127,3673,TPK-KY,電子工業,twse,2025-09-30
3128,3675,德微,半導體業,tpex,2025-09-30
3129,3678,聯享,光電業,emerging,2025-09-30
3131,3679,新至陞,電子零組件業,twse,2025-09-30
3132,3680,家登,半導體業,tpex,2025-09-30
751,3682,亞太電,電子工業,twse,2025-09-24
